codigo,descrip,abc_xyz,stock_fijado,stock_actual,dias_quiebre_1y,ratio_quiebre,ventas_totales,venta_max_diaria_total,venta_max_diaria_1y,p90_1y,p95_1y,p99_1y,dias_venta_pos,precio_venta,ROP_ajustado,dias_quiebre_ajustado,%_quiebre_ajustado,AhorroCapitalAjustado,ROP_intermedio,dias_quiebre_intermedio,%_quiebre_intermedio,ROP_holgado,dias_quiebre_holgado,%_quiebre_holgado,ExcesoCapitalHolgado
5830261,VIGADEXA sol.oftx5 ml,BX,1.0,1.0,0,0.0,11.0,1.0,1.0,1.0,1.0,1.0,11,26108,0.0,11,100.0,26108,1.0,0,0.0,1.0,0,0.0,0
5193752,VIGAMOX 0.5% sol.oftx5 ml,BX,1.0,1.0,4,0.16,14.0,2.0,2.0,1.0,1.0,1.0,12,26615,0.0,12,100.0,26615,1.0,1,8.0,2.0,0,0.0,26615
5031922,AEROLEP aer.inhal.c/adapx250ds,BX,1.0,1.0,0,0.0,24.0,2.0,2.0,1.0,1.0,2.0,22,13845,0.0,22,100.0,13845,1.0,2,9.0,2.0,0,0.0,13845
512961,AZITROX 200 mg/5 ml suspx15 ml,CX,0.0,0.0,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3,7364,0.0,3,100.0,7364,1.0,0,0.0,1.0,0,0.0,0
4274362,CEFADUO 1 g Cmp.recx10,CZ,1.0,1.0,1,0.2,1.0,1.0,1.0,1.0,1.0,1.0,2,7238,0.0,2,100.0,7238,1.0,0,0.0,1.0,0,0.0,0
5702391,ACIFUSIN B crx15 g,AX,2.0,2.0,1,0.014705882352941176,40.0,2.0,2.0,1.0,1.0,1.0,39,18197,0.0,39,100.0,18197,1.0,1,3.0,2.0,0,0.0,18197
5702131,ACIFUSIN crx15 g,BX,0.0,0.0,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3,11703,0.0,3,100.0,11703,1.0,0,0.0,1.0,0,0.0,0
587524,ACNOXIN gel x45 g,CX,1.0,1.0,2,0.2857142857142857,4.0,1.0,1.0,1.0,1.0,1.0,4,18432,0.0,4,100.0,18432,1.0,0,0.0,1.0,0,0.0,0
587522,ACNOXIN locx140 ml,BX,1.0,1.0,1,0.022727272727272728,25.0,2.0,2.0,1.0,1.0,2.0,23,23025,0.0,23,100.0,23025,1.0,2,9.0,2.0,0,0.0,23025
587523,ACNOXIN spray x140 ml,CX,1.0,1.0,2,0.2857142857142857,4.0,2.0,2.0,1.0,1.0,1.0,3,29435,0.0,3,100.0,29435,1.0,1,33.0,2.0,0,0.0,29435
9920061,AVENO ACONDx250 ml,CZ,0.0,0.0,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,16386,0.0,1,100.0,16386,1.0,0,0.0,1.0,0,0.0,0
9920683,AVENO emulsx250 ml,CY,1.0,1.0,1,0.05,10.0,1.0,1.0,1.0,1.0,1.0,11,23166,0.0,11,100.0,23166,1.0,0,0.0,1.0,0,0.0,0
9955343,AVENO emulsx400 ml,BX,1.0,1.0,1,0.03125,18.0,2.0,2.0,1.0,1.0,1.0,17,29379,0.0,17,100.0,29379,1.0,1,6.0,2.0,0,0.0,29379
9926260,AVENO gel de limpx250 ml,CX,-2.0,-2.0,2,0.6666666666666666,2.0,1.0,1.0,1.0,1.0,1.0,2,20633,0.0,2,100.0,20633,1.0,0,0.0,1.0,0,0.0,0
9952645,AVENO INF shampx250 ml,CX,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,16546,0.0,1,100.0,16546,1.0,0,0.0,1.0,0,0.0,0
9908730,AVENO jabx120 g,BX,2.0,2.0,2,0.03636363636363636,33.0,2.0,2.0,1.0,1.0,1.0,32,10597,0.0,32,100.0,10597,1.0,1,3.0,2.0,0,0.0,10597
9960604,AVENO limpieza gelx250 g,CX,2.0,2.0,0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,8,20633,0.0,8,100.0,20633,1.0,0,0.0,1.0,0,0.0,0
9960603,AVENO piel norm/sens crx50g,CX,1.0,1.0,0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,5,23083,0.0,5,100.0,23083,1.0,0,0.0,1.0,0,0.0,0
9960602,AVENO piel seca/sens crx50g,CX,1.0,1.0,2,0.18181818181818182,7.0,2.0,2.0,2.0,2.0,2.0,5,23086,1.0,2,40.0,23086,2.0,0,0.0,2.0,0,0.0,0
9920062,AVENO shampx250 ml,CX,0.0,0.0,0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,7,16392,0.0,7,100.0,16392,1.0,0,0.0,1.0,0,0.0,0
9962062,AVENO SOL FPS50 emuls.corpx175,CX,2.0,1.0,2,0.2222222222222222,7.0,1.0,1.0,1.0,1.0,1.0,7,20772,0.0,7,100.0,20772,1.0,0,0.0,1.0,0,0.0,0
9962063,AVENO SOL FPS50 emuls.facx50 m,CX,1.0,1.0,2,0.09523809523809523,12.0,1.0,1.0,1.0,1.0,1.0,12,19996,0.0,12,100.0,19996,1.0,0,0.0,1.0,0,0.0,0
5122111,BETASALIC locx40 ml,BX,1.0,1.0,1,0.0625,10.0,2.0,2.0,2.0,2.0,2.0,8,13770,1.0,2,25.0,13770,2.0,0,0.0,2.0,0,0.0,0
5122271,BETASALIC ungx15 g,BX,1.0,1.0,1,0.06666666666666667,8.0,1.0,1.0,1.0,1.0,1.0,8,11523,0.0,8,100.0,11523,1.0,0,0.0,1.0,0,0.0,0
640897,BETRIOL B ungx30 g,CX,1.0,1.0,2,0.14285714285714285,7.0,1.0,1.0,1.0,1.0,1.0,7,27745,0.0,7,100.0,27745,1.0,0,0.0,1.0,0,0.0,0
3387741,BETRIOL ungx30 g,CX,1.0,1.0,2,0.15384615384615385,7.0,1.0,1.0,1.0,1.0,1.0,7,19338,0.0,7,100.0,19338,1.0,0,0.0,1.0,0,0.0,0
9923939,BUSHI CREMA X50,CX,4.0,4.0,0,0.0,12.0,1.0,1.0,1.0,1.0,1.0,12,7605,0.0,12,100.0,7605,1.0,0,0.0,1.0,0,0.0,0
9923944,BUSHI ESCUDOS X2,,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,11445,0.0,0,,0,0.0,0,,0.0,0,,0
9923942,BUSHI PEZONERA X2,CX,3.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,12182,0.0,1,100.0,12182,1.0,0,0.0,1.0,0,0.0,0
9961024,BUSHI SPRAY X60,CX,2.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,9702,0.0,1,100.0,9702,1.0,0,0.0,1.0,0,0.0,0
33012,CLINAL pdax25 g,CZ,1.0,1.0,2,0.5,2.0,1.0,1.0,1.0,1.0,1.0,2,14320,0.0,2,100.0,14320,1.0,0,0.0,1.0,0,0.0,0
5080311,DEMACORT crx15 g,CX,1.0,1.0,1,0.25,2.0,1.0,1.0,1.0,1.0,1.0,2,9849,0.0,2,100.0,9849,1.0,0,0.0,1.0,0,0.0,0
2367882,DERALBINE crx40 g,AX,2.0,2.0,2,0.02531645569620253,49.0,2.0,2.0,1.0,1.0,2.0,47,10726,0.0,47,100.0,10726,1.0,2,4.0,2.0,0,0.0,10726
2617514,DERALBINE en spray x90 g,BY,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,19822,0.0,1,100.0,19822,1.0,0,0.0,1.0,0,0.0,0
2481892,DERALBINE locx40 ml,BX,1.0,1.0,0,0.0,7.0,1.0,1.0,1.0,1.0,1.0,7,11596,0.0,7,100.0,11596,1.0,0,0.0,1.0,0,0.0,0
2481712,DERALBINE pvox40 g,BX,1.0,1.0,1,0.03333333333333333,19.0,2.0,2.0,1.0,1.0,1.0,18,12280,0.0,18,100.0,12280,1.0,1,6.0,2.0,0,0.0,12280
9960254,DERMAGLOS C AUTOBRONCEANTE X15,CX,4.0,4.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,13633,0.0,1,100.0,13633,1.0,0,0.0,1.0,0,0.0,0
9961311,DERMAGLOS C HID + REGENERACION,CX,2.0,2.0,0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,8,15040,0.0,8,100.0,15040,1.0,0,0.0,1.0,0,0.0,0
9955639,DERMAGLOS C HID ESENCIAL CR X1,CX,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,9078,0.0,0,,0,0.0,0,,0.0,0,,0
9961312,DERMAGLOS C HID ESENCIAL EM X3,CX,2.0,2.0,1,0.125,4.0,1.0,1.0,1.0,1.0,1.0,4,12602,0.0,4,100.0,12602,1.0,0,0.0,1.0,0,0.0,0
9950067,DERMAGLOS C HID INMEDIATA CR X,CX,0.0,0.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,11295,0.0,2,100.0,11295,1.0,0,0.0,1.0,0,0.0,0
9959119,DERMAGLOS C HID INMEDIATA SPRA,CX,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,11621,0.0,1,100.0,11621,1.0,0,0.0,1.0,0,0.0,0
9961499,DERMAGLOS C M Y U HIALURONICO,CX,2.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,8302,0.0,2,100.0,8302,1.0,0,0.0,1.0,0,0.0,0
9961497,DERMAGLOS C M Y U HID ESENCIAL,,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,11382,0.0,0,,0,0.0,0,,0.0,0,,0
9961498,DERMAGLOS C M Y U HID ESENCIAL,CZ,2.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,6695,0.0,1,100.0,6695,1.0,0,0.0,1.0,0,0.0,0
9961500,DERMAGLOS C M Y U REGENERADORA,CZ,1.0,1.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,8302,0.0,1,100.0,8302,1.0,0,0.0,1.0,0,0.0,0
9957921,DERMAGLOS C PIEL DEL DIABETICO,CX,1.0,1.0,1,0.2,3.0,1.0,1.0,1.0,1.0,1.0,3,12583,0.0,3,100.0,12583,1.0,0,0.0,1.0,0,0.0,0
9961202,DERMAGLOS C PIEL DEL DIABETICO,CX,2.0,2.0,1,0.06666666666666667,9.0,1.0,1.0,1.0,1.0,1.0,9,19646,0.0,9,100.0,19646,1.0,0,0.0,1.0,0,0.0,0
9955641,DERMAGLOS C REGENERACION INT C,CX,2.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,11128,0.0,1,100.0,11128,1.0,0,0.0,1.0,0,0.0,0
9955642,DERMAGLOS C REGENERACION INT E,CX,0.0,0.0,1,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1,15040,0.0,1,100.0,15040,1.0,0,0.0,1.0,0,0.0,0
9961025,DERMAGLOS C ULTRA CR GEL HIALU,CX,2.0,2.0,0,0.0,4.0,2.0,2.0,1.0,1.0,1.0,3,15040,0.0,3,100.0,15040,1.0,1,33.0,2.0,0,0.0,15040
9958835,DERMAGLOS F AGUA MICELAR X200,CX,3.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,10203,0.0,1,100.0,10203,1.0,0,0.0,1.0,0,0.0,0
9962465,DERMAGLOS F AGUA MICELAR X200,,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,10208,0.0,0,,0,0.0,0,,0.0,0,,0
9962899,DERMAGLOS F AGUA MICELAR X200,CZ,3.0,3.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,7947,0.0,1,100.0,7947,1.0,0,0.0,1.0,0,0.0,0
9960253,DERMAGLOS F AGUA MICELAR X400,CX,1.0,1.0,0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,8,13525,0.0,8,100.0,13525,1.0,0,0.0,1.0,0,0.0,0
9957922,DERMAGLOS F DESMAQUILLANTE OJO,CX,2.0,2.0,1,0.05555555555555555,9.0,1.0,1.0,1.0,1.0,1.0,9,9162,0.0,9,100.0,9162,1.0,0,0.0,1.0,0,0.0,0
9962464,DERMAGLOS F DESPIGMENTANTE CR,CZ,1.0,1.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,21607,0.0,2,100.0,21607,1.0,0,0.0,1.0,0,0.0,0
9928744,DERMAGLOS F HID  P NORMAL F12,CX,1.0,1.0,0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,4,17928,0.0,4,100.0,17928,1.0,0,0.0,1.0,0,0.0,0
9948048,DERMAGLOS F HID  P NORMAL F20,CX,1.0,1.0,0,0.0,10.0,1.0,1.0,1.0,1.0,1.0,10,17934,0.0,10,100.0,17934,1.0,0,0.0,1.0,0,0.0,0
9948049,DERMAGLOS F HID  P NORMAL F20,CX,2.0,2.0,0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,6,17934,0.0,6,100.0,17934,1.0,0,0.0,1.0,0,0.0,0
9963680,DERMAGLOS F HID EQUILIBRADA SE,CZ,4.0,4.0,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3,17845,0.0,3,100.0,17845,1.0,0,0.0,1.0,0,0.0,0
9943529,DERMAGLOS F HID P MIX A GRASA,CX,3.0,3.0,1,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1,17934,0.0,1,100.0,17934,1.0,0,0.0,1.0,0,0.0,0
9946389,DERMAGLOS F HID P SECA CR X70,CX,3.0,3.0,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3,17934,0.0,3,100.0,17934,1.0,0,0.0,1.0,0,0.0,0
9963681,DERMAGLOS F HID TODO TIPO DE P,CX,3.0,3.0,0,0.0,12.0,2.0,2.0,1.0,1.0,1.0,11,10707,0.0,11,100.0,10707,1.0,1,9.0,2.0,0,0.0,10707
9959117,DERMAGLOS F LECHE LIMP X200,BX,2.0,2.0,0,0.0,17.0,1.0,1.0,1.0,1.0,1.0,17,10399,0.0,17,100.0,10399,1.0,0,0.0,1.0,0,0.0,0
9943528,DERMAGLOS F LIMP P MIX A GRASA,BX,6.0,6.0,1,0.04,15.0,2.0,2.0,1.0,1.0,1.0,14,10402,0.0,14,100.0,10402,1.0,1,7.0,2.0,0,0.0,10402
9950842,DERMAGLOS F LIMP P NORMAL GEL,CX,3.0,3.0,1,0.05,9.0,1.0,1.0,1.0,1.0,1.0,9,10402,0.0,9,100.0,10402,1.0,0,0.0,1.0,0,0.0,0
9950071,DERMAGLOS F MAT P MIX A GR F30,CX,2.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,17934,0.0,2,100.0,17934,1.0,0,0.0,1.0,0,0.0,0
9930560,DERMAGLOS F NUT P NORMAL CR X7,CX,2.0,2.0,0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,3,17928,0.0,3,100.0,17928,1.0,0,0.0,1.0,0,0.0,0
9946388,DERMAGLOS F NUT P SECA CR X50,CX,2.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,17928,0.0,1,100.0,17928,1.0,0,0.0,1.0,0,0.0,0
9952216,DERMAGLOS F ROJECES EM X50,CX,3.0,3.0,0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,8,21590,0.0,8,100.0,21590,1.0,0,0.0,1.0,0,0.0,0
9959579,DERMAGLOS F SERUM AH X30,CX,2.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,23453,0.0,2,100.0,23453,1.0,0,0.0,1.0,0,0.0,0
9963786,DERMAGLOS F SERUM AUTOBRONCEAN,,3.0,3.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,23020,0.0,0,,0,0.0,0,,0.0,0,,0
9963324,DERMAGLOS F SERUM ECTOINA X30,,2.0,2.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,22388,0.0,0,,0,0.0,0,,0.0,0,,0
9961017,DERMAGLOS F SERUM NIACINAMIDA,CX,2.0,2.0,0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,8,23453,0.0,8,100.0,23453,1.0,0,0.0,1.0,0,0.0,0
9961018,DERMAGLOS F SERUM VIT C X25,CX,2.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,23453,0.0,2,100.0,23453,1.0,0,0.0,1.0,0,0.0,0
9959118,DERMAGLOS F TONICO HID 200 ML,CZ,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,10409,0.0,0,,0,0.0,0,,0.0,0,,0
9961374,DERMAGLOS F TONICO HID SPRAY X,CX,3.0,3.0,0,0.0,6.0,1.0,1.0,1.0,1.0,1.0,6,10741,0.0,6,100.0,10741,1.0,0,0.0,1.0,0,0.0,0
9960034,DERMAGLOS F ULTRA ESTRUC DIA C,,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,25872,0.0,0,,0,0.0,0,,0.0,0,,0
9960035,DERMAGLOS F ULTRA ESTRUC NOCHE,CZ,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,25929,0.0,0,,0,0.0,0,,0.0,0,,0
9963790,DERMAGLOS F ULTRA ESTRUC NOCHE,,2.0,2.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,20360,0.0,0,,0,0.0,0,,0.0,0,,0
9960028,DERMAGLOS F ULTRA FIRMEZA CONT,CZ,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,23009,0.0,0,,0,0.0,0,,0.0,0,,0
9960029,DERMAGLOS F ULTRA FIRMEZA DIA,CX,3.0,3.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,25872,0.0,0,,0,0.0,0,,0.0,0,,0
9960030,DERMAGLOS F ULTRA FIRMEZA NOCH,CX,2.0,2.0,0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2,25929,0.0,2,100.0,25929,1.0,0,0.0,1.0,0,0.0,0
9963788,DERMAGLOS F ULTRA FIRMEZA NOCH,,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,20360,0.0,0,,0,0.0,0,,0.0,0,,0
9960026,DERMAGLOS F ULTRA HIDRAT CONT,CX,0.0,0.0,1,0.14285714285714285,2.0,1.0,1.0,1.0,1.0,1.0,2,16206,0.0,2,100.0,16206,1.0,0,0.0,1.0,0,0.0,0
9960027,DERMAGLOS F ULTRA HIDRAT CR GE,BX,8.0,8.0,4,0.1,23.0,2.0,2.0,1.0,1.0,1.0,22,18725,0.0,22,100.0,18725,1.0,1,5.0,2.0,0,0.0,18725
9963787,DERMAGLOS F ULTRA HIDRAT CR GE,,2.0,2.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,14980,0.0,0,,0,0.0,0,,0.0,0,,0
9960031,DERMAGLOS F ULTRA VOLUMEN CONT,CZ,2.0,2.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,23009,0.0,1,100.0,23009,1.0,0,0.0,1.0,0,0.0,0
9960032,DERMAGLOS F ULTRA VOLUMEN DIA,CX,2.0,2.0,0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,4,25872,0.0,4,100.0,25872,1.0,0,0.0,1.0,0,0.0,0
9960033,DERMAGLOS F ULTRA VOLUMEN NOCH,CX,2.0,2.0,0,0.0,8.0,1.0,1.0,1.0,1.0,1.0,8,25929,0.0,8,100.0,25929,1.0,0,0.0,1.0,0,0.0,0
9963789,DERMAGLOS F ULTRA VOLUMEN NOCH,,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,20360,0.0,0,,0,0.0,0,,0.0,0,,0
9961016,DERMAGLOS HOMBRE GEL LIMPIEZA,,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,9022,0.0,0,,0,0.0,0,,0.0,0,,0
2983821,DERMAGLOS LT CREMA X  50,AX,6.0,6.0,0,0.0,49.0,2.0,2.0,1.0,1.0,2.0,47,7400,0.0,47,100.0,7400,1.0,2,4.0,2.0,0,0.0,7400
2983822,DERMAGLOS LT CREMA X 100,BX,0.0,0.0,0,0.0,17.0,1.0,1.0,1.0,1.0,1.0,17,10458,0.0,17,100.0,10458,1.0,0,0.0,1.0,0,0.0,0
2983823,DERMAGLOS LT CREMA X 200,AY,12.0,12.0,1,0.008620689655172414,108.0,3.0,3.0,2.0,2.0,3.0,80,11219,1.0,23,29.0,11219,2.0,5,6.0,3.0,0,0.0,11219
2983825,DERMAGLOS LT CREMA X 250,BY,0.0,0.0,0,0.0,48.0,5.0,5.0,2.0,2.0,2.0,40,20052,1.0,5,12.0,20052,2.0,1,2.0,3.0,1,2.0,20052
2983829,DERMAGLOS LT DELIC FRAG CREMA,BX,0.0,0.0,0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1,19202,0.0,1,100.0,0,0.0,1,100.0,1.0,0,0.0,19202
2983827,DERMAGLOS LT DELIC FRAG CREMA,CX,1.0,1.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0,6569,0.0,0,,0,0.0,0,,0.0,0,,0
2704394,DERMAGLOS LT DELIC FRAG EMULSI,CX,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7944,0.0,0,,0,0.0,0,,0.0,0,,0
